Scene Description,Type,Content,Sentiment Score
HALLOWEEN,Character,"Written by Jeff Fradley, Danny McBride & David Gordon Green ",-0.2
SUPERIMPOSE:,Character,,0.0
"SMITH'S GROVE, ILLINOIS",Scene,,0.0
OCTOBER 30,Scene,,0.0
SMITH'S GROVE STATE HOSPITAL. DAY,Scene,A cold brick building. Isolated. Surrounded on all sides by barbed-wire fencing. A RENTAL CAR pulls up to the SECURITY GATE. A SECURITY GUARD checks the credentials of the driver. The Guard nods to the GUARD BOOTH. The GATE OPENS. The rental car drives through. ,-0.6
SECURITY STATION. SMITH'S GROVE STATE HOSPITAL. DAY.,Scene,"CLOSE ON: A HAND holding a MICROPHONE. The hand cranes the mike around the to pick up sounds of maniacal laughter echoing from the corridor. INSERTS of the corresponding inspiration of these sounds. REVEAL: DANA HAINES (30's), activating a TAPE RECORDER. She's with AARON JOSEPH-KOREY (40); both scholarly, British. Aaron signs some documents at a CHECK-IN DESK. They look to each other. Aaron speaks into her microphone. ",-0.0625
DANA,Character,"Check, check. ",0.0
AARON,Character,"Testing, testing. One, two, three. Among the SECURITY GUARDS, a NURSE works behind the security desk of what looks to be a minimum security institution. The nurse places a needle on a record player. A joyous song from a 1930's musical plays. Aaron looks through the security window and sees a DOCTOR writing something down and speaking to a PATIENT and a guard, KUNEMAN. His ballpoint pen runs out of ink. He shakes it, discards it and then reaches into his lab coat pocket for a more elegant pen to complete his prescription and signature. He glances through the glass at his visitors. Dana raises her mic to the door. WE HEAR SOUNDS through warped distortion. THEN: A loud BUZZER snaps us back to reality as a ward activates the door lock. CLOSE ON: The mechanics of the security locks, bars, etc. 2. A GREEN LIGHT FLASHES as the door opens and DR. RANBIR SARTAIN appears. A psychiatrist with a thick accent. ",0.04949494949494948
DR. SARTAIN,Scene,Good afternoon. I'm Dr. Ranbir Sartain. ,0.7
DANA,Character,Thank you for taking the time to meet with us. We were hoping to have this chance before he is transferred to the new facility. Glass Hill is far less accommodating. ,0.023232323232323233
DR. SARTAIN,Scene,Glass Hill is the pit of hell. Underfunded and short staffed. For years he has been kept here to be studied. I suppose the state has lost interest in discovering anything further. ,0.0
AARON,Character,Well... That's why we're here. ,0.0
DANA,Character,Do you mind if I record this? ,0.0
DR. SARTAIN,Scene,,0.0
(A SMILE),Scene,Why not? ,0.0
HALLWAY. SMITH'S GROVE STATE HOSPITAL. DAY.,Scene,"A loud BUZZER as the door shuts. Sartain escorts Aaron and Dana down a hall. Disturbed faces of PATIENTS pass. Many behind bars, others with CLINICAL ESCORTS. Dana records Sartain as they walk. ",0.0111111111111111
DANA,Character,How long have you been working with him? ,-0.05
DR. SARTAIN,Scene,I've examined every case file written on him. I was a scholar of Dr. Loomis before he passed away. Then I lobbied the University of Illinois to be assign to Michael myself. 3. ,0.0
DANA,Character,Any progress? ,0.0
DR. SARTAIN,Scene,"He has been seen by over 50 clinical psychiatrists. And with each, many different opinions. Loomis reasoned that he was nothing more than pure evil. ",0.04285714285714284
DANA,Character,Any you agree with this diagnosis? ,0.0
DR. SARTAIN,Scene,"Evil is not a diagnosis. Under my care, we implemented a holistic form of therapy. Since that time, his tendency for violence has essentially been erased. ",-0.5
AARON,Character,His response to your specific treatment has been effective? ,0.3
DR. SARTAIN,Scene,We left two kitty cats in his cell overnight and both remained unharmed. ,0.0
(A SMILE),Scene,I hate to disappoint you. Aaron stop walking. ,-0.8
AARON,Character,So you're telling us that there is no similarity between the murderous maniac that made newspaper headlines in 1978 and the amenable patient of this institution? Sartain laughs. ,0.2
DR. SARTAIN,Scene,"Michael Myers is an evolving, aging creature like we all are. And although we have worked very closely with him, these halls display the limitations of my analysis. Loomis saw Michael as a beast in the wild. He witnessed human behavior at its most primal, while the rest of us only have the opportunity of observation in captivity. 4. Sartain uses a key to open a heavy door that leads into... ",0.07500000000000001
COURTYARD. SMITH'S GROVE STATE HOSPITAL. DAY.,Scene,Sartain walks them into an outside courtyard. A few DISFIGURED or DISABLED RESIDENTS roam about. ,-0.13333333333333333
DR. SARTAIN,Scene,"Our patients get fresh air and sunshine, a view, proper exercise, a healthy diet. It pains me to see him transferred to a less than desirable' facility. ",0.15833333333333335
(POINTING),Scene,"There he is. He can speak. He just chooses not to. Aaron and Dana look. WE FIND THE SHAPE OF A MAN sixty feet away standing shackled to the ground in the middle of the concrete yard. A YELLOW PAINTED SQUARE creates a twenty foot frame around him. Tall, strong, aged, dressed in white. TWO SECURITY OFFICERS stand watch. SIX OTHER PATIENTS stand scattered through the yard. ",0.05119047619047618
AARON,Character,I'd love to stand near him and get a sense of his awareness... Or lack of awareness. ,0.3
DR. SARTAIN,Scene,"Make no mistake. He is aware. He was watching you as you arrived. When he's not out here in the courtyard, he walks from this window to that window, to the other. Observing things. Aaron and Dana look curiously to each other. ",-0.025
DR. SARTAIN (CONT'D),Scene,,0.0
(TO AARON),Scene,"And perhaps you'd like to tie your left shoelace. Mr Tovoli, the gentleman with the umbrella, has a fixation for such things. Underestimate no one. A patient holding AN UMBRELLA in the sunshine bites a fingernail and smiles at them. Embarrassed, Aaron bends down to tie his clean white sneaker. 5. ",0.042222222222222223
DR. SARTAIN (CONT'D),Scene,Step up to the yellow line. No further. Do not pass the line under any circumstance. Sartain looks to the security guards for reassurance and then walks Aaron and Dana to the yellow line on the concrete. The Shape stands with his back to them. Sartain calls out: ,0.030000000000000006
DR. SARTAIN (CONT'D),Scene,Michael. I have some people who would like to meet you. Aaron clears his throat. ,0.0
AARON,Character,"Michael. My name be Aaron. I've followed your case for years, and I still know very little about you. I want to know more about that night. About those involved. The Shape is motionless. ",0.128125
AARON (CONT'D),Scene,Do you think of them? Feel guilt about their fate? Nothing. Aaron looks back to Dana with a shrug.   She hesitantly steps forward to join her partner. ,0.0
