Scene Description,Type,Content,Sentiment Score
GET OUT,Character,"Written by Jordan Peele I appeal to you therefore, brothers, by the mercies of God, to present your bodies as a living sacrifice, holy and acceptable to God, which is your spiritual worship. Do not be conformed to this world, but be transformed by the renewal of your mind, that by testing you may discern what is the will of God, what is good and acceptable and perfect. -Romans 12:1-2 ",0.425
THE SHAW'S HOUSE - FRONT LAWN - NIGHT,Scene,"A perfect suburban house with bay windows and a front lawn. The SHAW family. Caucasian and warm - RICHARD, 34; NANCY, 30; JOSHUA, 6; and MAY, 4 - eat dinner inside. Richard reads something on his tablet illuminating his face. ",0.5333333333333333
JOSHUA,Character,Which one are we going to? ,0.0
RICHARD,Character,The one in Orlando. ,0.0
NANCY,Character,Disney World. ,0.0
JOSHUA,Character,Tony said that Mickey is not really Mickey; it's someone else in there. ,-0.1
RICHARD,Character,Mickey's Mickey. ,0.0
SUBURBAN STREET - NIGHT,Scene,"ANDRE, 29, an African-American man runs down the sidewalk in sweats. He listens to jazz on his phone. The music stops. He stops running and checks his phone. ",-0.15555555555555559
ANDRE,Character,Damn. He's right in front of the Shaw's house. He glances inside. The Shaw's seem normal and content. Andre smiles. A motion detecting security light floods the lawn. ,0.2785714285714286
THE SHAW'S HOUSE - DINING ROOM - CONTINUOUS,Scene,"Richard looks up from his table to see Andre standing there. The rest of the family doesn't notice. Nancy tends to May, who SQUIRMS in her chair. Richard watches Andre protectively. 2. ",0.0
JOSHUA,Character,"Also, Tony said he saw a chef Mickey and a normal Mickey. ",0.15
NANCY,Character,He must have changed his clothes for work. ,0.0
SUBURBAN STREET - CONTINUOUS,Scene,Andre walks on. It's getting dark. He is suddenly very alone. A vintage creme-colored Porsche Boxter with tinted windows and a roof CREEPS up on the street behind Andre. It's following him. ,-0.0875
SPORTS CAR - CONTINUOUS,Scene,Driver's POV watching Andre. His BREATH ECHOES deep and tinny as if it were into a coffee can. Through the car's system we hear an English to French language tutorial recording. ,0.0
TUTORIAL,Scene,Pardon me. Where is the nearest restaurant? Pardonnez-moi. Ou est le restaurant le plus proche? The driver doesn't repeat. ,0.0
SUBURBAN STREET - CONTINUOUS,Scene,"Andre, feeling followed, stops to tie his shoe. The car also stops. Andre waves at the unseen DRIVER. There is no response. The ENGINE PURRS. Andre begins walking again. The car begins slowly too. Andre stops again. The car does too. Andre peers through the windshield but can't see through the tint. ",-0.30000000000000004
ANDRE,Character,Can I help you...? No response. ,0.0
ANDRE (CONT'D),Scene,I'm new to the area. I just moved here... Down on Evergreen... Nothing. Did I do something wrong? 'Cause-- 3. ,-0.17306397306397306
SPORTS CAR - CONTINUOUS,Scene,"Driver's POV. Andre continues to talk, but isn't heard. ",0.0
TUTORIAL,Scene,Can you show me the nearest bathroom? Pouvez-vous me montrer la salle de bain la plus prouche? ,0.0
SUBURBAN STREET - CONTINUOUS,Scene,Andre hears nothing from inside. ,0.0
ANDRE,Character,"(under his breath) This is some shit right here. Andre begins walking. The car creeps alongside him. After a few steps, Andre stops again. The car stops. Andre laughs. ",-0.038095238095238106
ANDRE (CONT'D),Scene,Wait a minute. I know you? You messing with me right?..Come on. No response. He realizes it's not a friend. ,0.0
