Scene Description,Type,Content,Sentiment Score
IT,Character,Written by Chase Palmer & Cary Fukunaga Based on the novel by Stephen King ,0.0
STUDIO DRAFT 3-18-2014,Scene,,0.0
OPEN ON:,Character,Rain. Lashing a windowpane. A PIANO PLAYS somewhere off screen. Beethoven's Fur Elise. ,0.0
WILL'S BEDROOM - DAY,Scene,"A little boy gazes out into the storm. Nervous, eager, sweet. Meet GEORGE DENBROUGH (9). ",0.08124999999999999
GEORGE,Character,"You sure it's not too bad out there? Will (13), his older brother,   sits up in bed propped against a pile of pillows, surrounded   by tissues and sheets of newspaper. HEADLINES and TOYS   tell us this is the late 80's -- October, 1987 to be exact. He   puts finishing touches on ",-0.01666666666666663
A PAPER BOAT,Character,,0.0
WILL,Character,Don't be such a wuss. I'd come if I weren't dying. Now get the paraffin. ,0.0
GEORGE,Character,In the cellar? ,0.0
WILL,Character,"You want it to float or not, Georgie? Go on. Storm's not gonna last forever. ",0.0
GEORGE,Character,"Okay, Willy. George jumps up obediently and goes. : ",0.45
TITLE CARD:,Character,,0.0
OCTOBER 1987,Scene,2. ,0.0
WILL'S HOUSE - DAY,Scene,"George hurries downstairs. He catches a glimpse of their mother, SHARON DENBROUGH (30s) in the parlor playing piano, an earthy beauty transported to another world while she plays. ",0.0
KITCHEN - WILL'S HOUSE - DAY,Scene,George's stomach sinks as he comes face to face with THE CELLAR DOOR -- the only thing between George and the monster in the basement of his imagination -- IT. ,-0.05
WILL'S BEDROOM - CONTINUOUS,Scene,"A WALKIE-TALKIE SQUAWKS next to Will. The sarcastic walkie- talkie filtered voice of RICHIE ""TRASHMOUTH"" TOZIER (12), his neighbor, filters through the plastic speaker. ",0.05
RICHIE,Character,,0.0
(WALKIE-TALKIE FILTERED),Scene,"Willy-boy. Will, annoyed, picks up the walkie-talkie.   While looking through his rain blasted window. ",-0.5
WILL,Character,"Trashmouth. They wave at each other. Richie, bug-eyed glasses, turns the wave into a middle-finger. ",-0.125
RICHIE (O.S.),Scene,Thought you were sick. ,-0.7142857142857143
WILL,Character,I am. ,0.0
RICHIE (O.S.),Scene,Is it mortal? ,0.0
CELLAR DOORWAY - CONTINUOUS,Scene,"Flinging it open, George ventures his arm into the DARK VOID. He gropes around and finds the LIGHT SWITCH. Nothing. George snatches his arm back. 3. ",0.0625
GEORGE,Character,"Oh, balls. The power. The dark basement glares back at him, taunting. ",-0.075
HERE WE DO SOME SORT OF CALL FROM WILL UPSTAIRS THAT IS A,Character,,0.0
"""CODE"" THEY DO WITH EACH OTHER. THIS WILL COME BACK TO HAUNT",Scene,,0.0
US LATER.,Scene,,0.0
WILL'S BEDROOM - CONTINUOUS,Scene,,0.0
GEORGIE RESPONDS WITH HIS OWN CALL FROM DOWNSTAIRS,Character,,0.0
RICHIE (O.S.),Scene,"What was that? Will coughs hard into a tissue. Half-impatient, half-joking: ",-0.2916666666666667
WILL,Character,Nothing. Georgie and I are making a paper boat. Got to go- ,0.0
RICHIE,Character,Wait-! Will turns off the walkie-talkie. ,0.0
KITCHEN - WILL'S HOUSE - CONTINUOUS,Scene,George rubs the gooseflesh on his arms. ,0.0
GEORGE,Character,,0.0
(TO HIMSELF),Scene,I'm getting it. I'm going to get it. I'm going in. I'm... He steels himself and plunges into the void. ,0.0
CELLAR - WILL'S HOUSE - CONTINUOUS,Scene,"George scrambles down four steps to THE CELLAR SHELF and sifts through junk as fast as he can: SHOE-POLISH, RAGS, a dusty bag of colored BALLOONS, a broken FLASHLIGHT, two mostly empty bottles of WINDEX, and an old can of TURTLE WAX. George stops and gazes upon the CARTOON TURTLE with hypnotic wonder.  POV of something lurking in recesses of the basement, watching GEORGE framed in the light of the doorway. 4. Sensing this, George snaps out of it, grabs the BOX OF PARAFFIN near the back of the shelf, and hurries back up the stairs, slamming the door in our/It's face. ",-0.025555555555555564
WILL'S BEDROOM - DAY,Scene,"Will melts a chunk of paraffin with a match in a ceramic bowl, then dips his finger into the hot liquid and smears the wax along the sides of the boat. ",0.25
GEORGE,Character,Can I do some? ,0.0
WILL,Character,Okay. Just don't get any on my blankets or Mom'll freak. George dips his finger and spreads it. ,0.5
GEORGE,Character,Too cool. They finish up and Will gives the boat to George. ,0.35
WILL,Character,There you go. She's all yours. ,0.0
GEORGE,Character,She? ,0.0
